rumah,alamat,harga,temppat_tidur,luas_bangunan,luas_lahan
Rumah mewah harga perdana lokasi strategis di Jogja bisa kpr,"Gamping, Sleman",Rp 685.000.000,2,36,91
Rumah mewah di jl solo-jogja 15 menit ke mall AMPLAZ,"Sleman, Sleman",Rp 955.000.000,2,40,130
LAUNCHING: Rumah 2 Lantai Private Pool di Jakal KM 9,"Ngaglik, Sleman",Rp 1.470.000.000,3,95,125
Rumah Murah Sleman,"Gamping, Sleman",Rp 489.000.000,2,40,79
Rumah 2 Lantai Kolam Renang di Jogja,"Ngaglik, Sleman",Rp 1.557.500.000,4,95,139
"Rumah Mewah 2 Lantai dengan Inner Garden - Jakal KM 9,5 Sleman","Ngaglik, Sleman",Rp 1.320.000.000,4,95,125
Rumah Type 95 BONUS Kolam Renang di Sleman,"Ngaglik, Sleman",Rp 1.557.500.000,4,95,139
"Rumah Mewah Kolam Renang Pribadi di Maguwoharjo, Sleman","Ngaglik, Sleman",Rp 1.700.000.000,4,110,172
Dijual Hunian Modern 2 Lantai Strategis di Jalan Kaliurang Sleman,"Mlati, Sleman",Rp 1.487.000.000,4,95,125
Rumah Mewah 2 Milyar Smart Home dengan Private Pool di Jl Kaliurang KM 9,"Ngaglik, Sleman",Rp 2.167.000.000,4,110,229
Rumah Scandinavian View Perbukitan Selatan PKU Gamping,"Gamping, Sleman",Rp 508.000.000,2,40,77
Rumah Mewah 2 Lantai 5 Menit Dari Jalan Kaliurang,"Ngaglik, Sleman",Rp 1.381.000.000,4,95,133
Dijual Rumah Kolam Renang di Jogja,"Gamping, Sleman",Rp 1.795.000.000,4,116,201
"Rumah Murah di Sleman, Ambarketawang, Dekat UMY","Gamping, Sleman",Rp 650.000.000,3,65,98
"Dijual Rumah Sleman Harga 1, 7 Milyar SHM Kolam Renang Pribadi","Purwo martani, Sleman",Rp 1.700.000.000,4,110,172
Rumah Nuansa Vila Santorini Hanya 7 Menit Ke Pasar Gamping Sleman,"Gamping, Sleman",Rp 1.212.000.000,3,95,146
Rumah Nuansa Villa Hadap Utara Jl Wates Gamping Sleman,"Ngaglik, Sleman",Rp 1.212.000.000,4,110,146
Rumah Konsep Mediterania Santorini Hanya 10 Menit Ke Pertamina Jl Wates Sleman,"Gamping, Sleman",Rp 1.212.000.000,3,110,146
Dijual Rumah Mewah Sleman Dekat Pasar Gentan,"Ngaglik, Sleman",Rp 1.537.000.000,4,95,133
Rumah Mezanine di Maguwoharjo,"Maguwoharjo, Sleman",Rp 365.000.000,2,76,48
"Jogjakarta  rumah baru modern dalam cluster rlit fikawasan rmas komersil dekat UGM,Al",Sleman,Rp 1.503.216.000,2,120,106
Dijual Hunian Mewah 2 Lantai di Sleman,"Depok, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Mewah 2 Lantai Lokasi Premium dekat UII,Sleman,Rp 2.200.000.000,6,140,159
Dijual Hunian Modern 2 Lantai di Sleman dekat UII,Sleman,Rp 1.500.000.000,5,120,120
Dijual Rumah Mewah 2 Lantai di Sleman Strategis,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Mewah Strategis di Sleman dekat UII,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
Dijual Hunian Mewah di Sleman Strategis,Sleman,Rp 1.500.000.000,5,120,120
Dijual Rumah Modern Strategis di Sleman Yogyakarta,"Depok, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah 2 Lantai design modern Hanya di Nawasena Kaliurang,"Condong Catur, Sleman",Rp 2.200.000.000,6,140,159
Dijual Rumah Modern Strategis hanya di Nawasena Kaliurang,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah Modern 2 Lantai di Ngaglik Strategis,Sleman,Rp 1.500.000.000,5,120,120
Dijual Rumah 2 Lantai di Sleman Strategis,Sleman,Rp 1.500.000.000,5,120,120
Dijual Hunian Exclusive di Sleman dekat UII,"Depok, Sleman",Rp 1.500.000.000,5,120,120
"RUMAH MINIMALIS HARGA EKONOMIS, DEKAT BANDARA YIA","Panjatan, Kulon Progo",Rp 185.000.000,2,30,61
Dijual Rumah Second Siap Huni di jakal km10,"Ngaglik, Sleman",Rp 990.000.000,4,95,110
Dijual Rumah Mewah 2 Lantai Exclusive di Sleman,"Condong Catur, Sleman",Rp 1.500.000.000,5,120,120
Dijual Rumah 2 Lantai Strategis di Ngaglik Sleman,"Condong Catur, Sleman",Rp 1.500.000.000,5,120,120
"RUMAH MODERN DI JOGJA KOTA, STRATEGIS DI WIROBRAJAN DEKAT KAMPUS UPY","Wirobrajan, Yogyakarta",Rp 1.550.000.000,3,80,102
Dijual Hunian Exclusive di Sleman 2 Lantai,"Sleman, Sleman",Rp 2.200.000.000,6,140,159
Dijual Hunian Modern Exclusive 2 Lantai di Sleman,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
RUMAH MURAH 2 LANTAI FREE BIAYA KPR BPHTB AJB & SHM,"Sedayu, Bantul",Rp 577.500.000,3,60,99
RUMAH DESAIN FULL KLASIK DEKAT KAWASAN WISATA CANDI PRAMBANAN,"Prambanan, Sleman",Rp 535.000.000,2,46,107
RUMAH MEWAH SIAP HUNI DALAM CLUSTER DEKAT PUSAT KOTA JOGJA,"Banguntapan, Bantul",Rp 1.099.000.000,3,100,91
RUMAH MEWAH SIAP HUNI 2 LANTAI DEKAT STADION MAGUWOHARJO,"Maguwoharjo, Sleman",Rp 1.750.000.000,3,120,126
RUMAH CANTIK HARGA PROMO 5 MENIT KE JL JOGJA-SOLO,"Prambanan, Sleman",Rp 250.000.000,2,36,70
Rumah Dalam Perum Jakal km 9 Sleman Yogyakarta,"Ngaglik, Sleman",Rp 1.100.000.000,4,110,164
RUMAH BARU SIAP HUNI LENGKAP DENGAN FURNISHED DI PURWOMARTANI,"Purwo martani, Sleman",Rp 770.000.000,3,80,104
SIAP HUNI DENGAN FURNISHED RUMAH BARU DI PURWOMARTANI,"Purwo martani, Sleman",Rp 769.999.000,3,80,104
RASAKAN MEMILIKI RUMAH DI PUSAT KOTA JOGJA HARGA TERMURAH DI SEKITARNYA,"Umbulharjo, Yogyakarta",Rp 3.000.000.000,4,140,138
HUNIAN PREMIUM DI GUNUNGKIDUL DESIGN SUKASUKA,"Playen, Gunung Kidul",Rp 275.000.000,2,45,92
PROMO KPR DP 0% HARGA MURAH DI PLAYEN GUNUNGKIDUL,"Playen, Gunung Kidul",Rp 249.999.999,2,36,60
SANGAT MURAH 1 UNIT TERAKHIR RUMAH BONUS GAZEBO DI KALASAN SLEMAN,"Kalasan, Sleman",Rp 585.000.000,3,55,112
RUMAH MEWAH SIAP HUNI 2 LT DEKAT JALAN JOGJA SOLO,"Purwo martani, Sleman",Rp 1.200.000.000,3,100,130
RUMAH DESAIN CANTIK ELEGAN HARGA MURAH BISA KPR DI LOGANDENG,"Playen, Gunung Kidul",Rp 277.000.000,2,41,71
RUMAH MINIMALIS HARGA PALING MURAH BISA KPR DI BANTUL,"Bantul, Bantul",Rp 285.000.000,2,36,72
RUMAH BARU 2 LANTAI DEKAT KAMPUS UII TERPADU JAKAL,"Ngaglik, Sleman",Rp 1.750.000.000,4,200,120
rumah dijual di sleman,"Sleman, Sleman",Rp 689.500.000,2,45,93
Rumah 2 Lantai 3 kamar tidur di perumahan eksklusif Maguwo Sleman,"Maguwoharjo, Sleman",Rp 880.000.000,3,80,120
Rumh 2 lantai 3 kamar tidur di Jalan Wates KM 9 Bantul Free BPHTB DLL,"Sedayu, Bantul",Rp 613.000.000,3,75,72
"Rumah 3 kamar tidur tipe 60, luas tanah 120 m di perumahan Maguwo","Maguwoharjo, Sleman",Rp 755.000.000,3,60,120
Rumah Baru tipe 80 cuma 20 menit ke kampus UGM Kamar tidur 3,"Seyegan, Sleman",Rp 665.000.000,3,80,140
Rumah Baru 2 lantai di Seturan  depok sleman,"Caturtunggal, Sleman",Rp 1.780.000.000,4,117,104
rumah di Concat di perumahan dekat kampus UPN,"Depok, Sleman",Rp 1.650.000.000,4,180,169
Rumah Mewah Di Citra Sun Garden dekat Bandara,Sleman,Rp 6.500.000.000,4,316,409
"Rumah Dalam Perumahan di jl Palagan, Ngaglik, Sleman","Ngaglik, Sleman",Rp 1.200.000.000,2,83,198
Rumah Baru Dekat Kota di Jl Godean Km 3,"Gamping, Sleman",Rp 1.650.000.000,4,125,154
Rumah Nyaman Dalam Perumahan Di Jl Perumnas Concat,"Condong Catur, Sleman",Rp 1.700.000.000,3,87,143
Rumah Baru w/furnished di Purwomartani,Sleman,Rp 1.450.000.000,3,128,112
Rumah Minimalis Dijual Area Trirenggo Bantul hanya 100m dari Jalan Utama Dekat Pemda ,"Bantul, Bantul",Rp 336.500.000,2,38,122
Rumah Minimalis Modern Dalam Perumahan Utara Masjid Suciati Gito Gati,"Mlati, Sleman",Rp 1.200.000.000,3,88,122
Rumah Baru Full Furniture Dekat SD Model Wedomartani Sleman,"Ngemplak, Sleman",Rp 1.650.000.000,3,105,150
Rumah Dalam Perumahan Barat Hotel Hyatt Palagan Km 7,"Mlati, Sleman",Rp 1.200.000.000,2,64,126
Rumah Dalam Perumahan Dekat Tengkleng Gajah Jakal,"Ngaglik, Sleman",Rp 1.700.000.000,4,150,126
Rumah Limasan Murah Di Bangunjiwo Bantul Yogyakarta,"Bantul, Bantul",Rp 875.000.000,2,61,150
Rumah 2 Lantai Dekat SKE Jambon Yogyakarta,"Mlati, Sleman",Rp 1.500.000.000,3,190,112
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.662.400.000,3,154,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.662.400.000,3,154,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.780.800.000,3,171,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.526.000.000,3,139,130
Rumah Dijual di Jogja,"Pakualaman, Yogyakarta",Rp 1.662.400.000,3,154,130
Rumah Dijual di Jogja,"Ngampilan, Yogyakarta",Rp 1.780.800.000,3,171,130
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.662.400.000,3,154,130
Rumah Dijual di Jogja,"Kraton, Yogyakarta",Rp 1.526.000.000,3,139,130
Rumah Dijual di Jogja,"Ngampilan, Yogyakarta",Rp 1.662.400.000,3,154,130
Rumah Impian Baru Siap Bangun Free Desain Daerah Purwomartani,"Purwo martani, Sleman",Rp 399.000.000,2,36,70
Rumah Impian 200anJt Free Desain Daerah Balecatur,"Gamping, Sleman",Rp 242.000.000,2,36,66
Promo Tahun Baru Rumah Baru Segera Amankan,"Sedayu, Bantul",Rp 210.000.000,2,36,71
Rumah Impian Baru Siap Bangun Free Desain Daerah Purwomartani,"Purwo martani, Sleman",Rp 399.000.000,2,36,70
Rumah Free Desain Siap Bangun Minimalis Daerah Sedayu,"Sedayu, Bantul",Rp 251.000.000,2,36,72
Rumah Strategis Siap Bangun Dekat Stadion Maguwoharjo,"Maguwoharjo, Sleman",Rp 478.000.000,2,45,66
Rumah Strategis Siap Bangun Depan Sdn 3 Sedayu,"Sedayu, Bantul",Rp 251.000.000,2,36,71
Rumah Baru Siap Bangun Free Desain Dekat Pamela Tujuh,"Kalasan, Sleman",Rp 395.000.000,2,36,70
Rumah Siap Bangun Dekat Wisata Kasongan Bantul,"Kasihan, Bantul",Rp 358.000.000,2,36,84
Rumah 190an jt Siap Bangun Daerah Balecatur Gamping,"Gamping, Sleman",Rp 198.000.000,2,36,67
Rumah Baru Siap Bangun Free Desain Dekat Pamela Tujuh Purwomartani,"Kalasan, Sleman",Rp 395.000.000,2,36,70
Rumah Baru Siap Bangun Free Desain Dekat Pamela Tujuh Purwomartani,"Kalasan, Sleman",Rp 395.000.000,2,36,70
Rumah Strategis Siap Bangun Dekat Stadion Maguwoharjo,"Ngemplak, Sleman",Rp 475.000.000,2,45,66
Rumah 190an jt Siap Bangun Daerah Balecatur Gamping,"Gamping, Sleman",Rp 198.000.000,2,36,67
Rumah Impian Strategis Siap Bangun Daerah Malangrejo,"Maguwoharjo, Sleman",Rp 475.000.000,2,45,66
Rumah Mewah Bebas Desain Siap Bangun Daerah Purwomartani,"Kalasan, Sleman",Rp 395.000.000,2,36,70
Rumah Impian Baru Siap Bangun Free Desain Daerah Purwomartani,"Purwo martani, Sleman",Rp 395.000.000,2,36,70
Rumah Baru Sisa 1 Unit Free Desain Daerah Bangunjiwo,"Kasihan, Bantul",Rp 350.000.000,2,36,84
Rumah Free Desain Siap Bangun Daerah Sedayu,"Sedayu, Bantul",Rp 310.000.000,2,36,70
Rumah Impian Strategis Siap Bangun Daerah Malangrejo,"Maguwoharjo, Sleman",Rp 475.000.000,2,45,66
Dijual Sale Rumah Minimalis Free Desain daerah Sedayu,"Sedayu, Bantul",Rp 225.000.000,2,36,66
Dijual Rumah Siap Bangun Termurah daerah Sleman,"Kalasan, Sleman",Rp 430.000.000,2,36,68
Sale Rumah Modern Free Desain daerah Bangunjiwo,"Kasihan, Bantul",Rp 350.000.000,2,36,84
Dijual Rumah Sedayu Pinggir Jalan Murah,Bantul,Rp 225.000.000,2,36,66
Promo Rumah Sleman Desain Modern,"Ngemplak, Sleman",Rp 475.000.000,2,36,60
Rumah Berkualitas Harga Murah Area Sedayu,"Sedayu, Bantul",Rp 225.000.000,2,36,66
DIJUAL RUMAH PURI HUTAMA BANGUNJIWO BANTUL 350JT,"Kasihan, Bantul",Rp 350.000.000,2,36,84
DIJUAL RUMAH DAARU TIRTA HUTAMA TYPE 36 430JT SIAP BANGUN,"Purwo martani, Sleman",Rp 430.000.000,2,36,68
DIJUAL RUMAH STRATEGIS HANYA 350JT AREA BANGUNJIWO BANTUL JOGJA,"Kasihan, Bantul",Rp 350.000.000,2,36,84
RUMAH TYPE 36 MINIMALIS SIAP BANGUN AREA PURWOMARTANI SLEMAN JOGJA,"Purwo martani, Sleman",Rp 431.000.000,2,36,68
RUMAH DAARU TIRTA HUTAMA HANYA 431JT AREA PURWWOMARTANI SLEMAN,"Purwo martani, Sleman",Rp 431.000.000,2,36,68
"Dijual Rumah Sleman Harga 1, 7 Milyar SHM Kolam Renang Pribadi","Purwo martani, Sleman",Rp 1.700.000.000,4,110,172
Rumah Nuansa Vila Santorini Hanya 7 Menit Ke Pasar Gamping Sleman,"Gamping, Sleman",Rp 1.212.000.000,3,95,146
Rumah Nuansa Villa Hadap Utara Jl Wates Gamping Sleman,"Ngaglik, Sleman",Rp 1.212.000.000,4,110,146
Rumah Konsep Mediterania Santorini Hanya 10 Menit Ke Pertamina Jl Wates Sleman,"Gamping, Sleman",Rp 1.212.000.000,3,110,146
Dijual Rumah Mewah Sleman Dekat Pasar Gentan,"Ngaglik, Sleman",Rp 1.537.000.000,4,95,133
"Rumah Murah di Sleman, Ambarketawang, Dekat UMY","Gamping, Sleman",Rp 650.000.000,3,65,98
Rumah & Kost di daerah Jombor Mlati,"Mlati, Sleman",Rp 3.200.000.000,10,412,532
RUMAH BARU SIAP HUNI LENGKAP DENGAN FURNISHED DI PURWOMARTANI,"Purwo martani, Sleman",Rp 770.000.000,3,80,104
SIAP HUNI DENGAN FURNISHED RUMAH BARU DI PURWOMARTANI,"Purwo martani, Sleman",Rp 769.999.000,3,80,104
RASAKAN MEMILIKI RUMAH DI PUSAT KOTA JOGJA HARGA TERMURAH DI SEKITARNYA,"Umbulharjo, Yogyakarta",Rp 3.000.000.000,4,140,138
Dijual Rumah Second Siap Huni di jakal km10,"Ngaglik, Sleman",Rp 990.000.000,4,95,110
"RUMAH MINIMALIS HARGA EKONOMIS, DEKAT BANDARA YIA","Panjatan, Kulon Progo",Rp 185.000.000,2,30,61
Rumah Minimalis Modern Dalam Perumahan Utara Masjid Suciati Gito Gati,"Mlati, Sleman",Rp 1.200.000.000,3,88,122
Rumah Baru Full Furniture Dekat SD Model Wedomartani Sleman,"Ngemplak, Sleman",Rp 1.650.000.000,3,105,150
Rumah Dalam Perumahan Barat Hotel Hyatt Palagan Km 7,"Mlati, Sleman",Rp 1.200.000.000,2,64,126
Rumah Dalam Perumahan Dekat Tengkleng Gajah Jakal,"Ngaglik, Sleman",Rp 1.700.000.000,4,150,126
Rumah Limasan Murah Di Bangunjiwo Bantul Yogyakarta,"Bantul, Bantul",Rp 875.000.000,2,61,150
Rumah 2 Lantai Dekat SKE Jambon Yogyakarta,"Mlati, Sleman",Rp 1.500.000.000,3,190,112
RUMAH ETNIK TRADISIONAL JOGJA,Sleman,Rp 365.000.000,2,36,90
RUMAH MURAH DEKAT CANDI,"Kalasan, Sleman",Rp 365.000.000,2,36,70
Hunian Ramah budaya etnic jawa area Tamanmartani sleman type 45,"Kalasan, Sleman",Rp 397.500.000,2,45,70
Rumah Type 45 Free Desain Area Sleman DIY Mulai 365jt,"Kalasan, Sleman",Rp 397.000.000,2,45,70
"Rumah Modern Tropis di Tempel Sleman, Utara RSUD Sleman","Sleman, Sleman",Rp 391.500.000,2,36,109
Dijual Rumah di Jogja Selatan Proses Renovasi dekat Wisata Manding,"Bantul, Bantul",Rp 385.000.000,2,50,84
Malangrejo hutama asri siap bangun sesuai desgin anda,"Ngemplak, Sleman",Rp 320.000.000,2,36,64
Rumah mewah dijual di Jalan veteran yogyakarta,"Umbulharjo, Yogyakarta",Rp 4.500.000.000,9,540,418
Rumah dijual murah di Sleman,"Gamping, Sleman",Rp 620.000.000,3,45,80
RUMAH DI PERUMAHAN LAGUNA SPRING,"Banguntapan, Bantul",Rp 1.900.000.000,3,200,128
rumah luas harga murah kualitas terbaik,"Sedayu, Bantul",Rp 700.000.000,2,45,155
Rumah Murah Berkualitas Free Desain area Ngemplak Sleman Jogja,"Ngemplak, Sleman",Rp 437.000.000,2,36,64
Rumah Sedayu Indra Praya 2 Lantai Promo 2 Unit Pertama Jogja Selatan,"Sedayu, Bantul",Rp 555.500.000,3,75,70
"Konsep Yang Unik dan Harga dibawah400JT,Wedomartani","Ngemplak, Sleman",Rp 320.000.000,2,36,62
rumah mewah murah,"Kalasan, Sleman",Rp 1.150.000.000,3,124,133
Rumah siap bangun dekat dengan GOr Maguwo harga dibawah 500 jt,"Ngemplak, Sleman",Rp 320.000.000,2,36,64
Rumah Dekat Perumahan Elite Jongke Mlati Sleman,"Ngaglik, Sleman",Rp 835.000.000,2,95,106
Rumah Dalam Cluster Dekat Hyatt dan Jalan Damai  Palagan,"Ngaglik, Sleman",Rp 945.000.000,3,90,104
Rumah baru Cluster Tamanan Dekat RS Wirosaban,"Kasihan, Bantul",Rp 529.000.000,2,45,75
"Rumah Kota Yogyakarta di Gambiran, Klasik Mewah Dalam Perumahan","Umbulharjo, Yogyakarta",Rp 999.000.000,3,85,93
Jual cepat rumah hook 2 muka dalam perumahan,"Kasihan, Bantul",Rp 495.616.154,2,45,97
RUMAH MEWAH INCLUDE KOLAM RENANG KASIHAN DEKAT UMY,"Kasihan, Bantul",Rp 918.000.000,3,65,153
RUMAH IDAMAN NAN CANTIK DI PERUM GRIYA SAFIR,"Sleman, Sleman",Rp 785.000.000,2,55,114
MURAHRumah Modern Baru Siap Huni Timur Kampus UII Jakal,"Ngaglik, Sleman",Rp 975.000.000,3,90,126
RUMAH DIJUAL CANTIK STRATEGIS MURAH DI UTARA JOGJABAY MAGUWO JOGJA,"Purwo martani, Sleman",Rp 685.000.000,3,65,114
"TERMURAH, Ada Kolam Renang Di Dalam KOTA","Tegalrejo, Yogyakarta",Rp 2.900.000.000,7,250,325
"Legalitas Aman, Lokasi Prospek, Pusat Kota",Gondokusuman,Rp 3.000.000.000,11,700,232
RUMAH MEWAH DI JUAL DI JOGJA AREA JLKALIURANG ( 10 MENIT KAMPUS UGM & UII ),"Ngaglik, Sleman",Rp 3.100.000.000,4,230,182
"DALAM RING ROAD JANTI, 4 MENIT KE PLAZA AMBARUKMO DESAIN KEKINIAN","Condong Catur, Sleman",Rp 1.900.000.000,3,80,101
"DEKAT STADION MAGUWOHARJO, DESAIN KEKINIAN 2 LANTAI","Ngaglik, Sleman",Rp 1.260.000.000,3,80,103
500 Jutaan Rumah Modern di Seyegan dekat RS Atturors Sleman,"Seyegan, Sleman",Rp 525.000.000,3,71,116
Rumah Strategis Siap Huni 3 Menit dari Jl Magelang dan juga dekat JCM,"Tegalrejo, Yogyakarta",Rp 1.250.000.000,3,225,135
Rumah Mewah 2 Lantai Desain Modern Baru dalam Perumahan di Jalan Palagan,"Sleman, Sleman",Rp 1.855.000.000,3,110,125
Rumah Murah Dan Baru Dekat Pemda Sleman,"Mlati, Sleman",Rp 699.000.000,3,90,114
MURAH MURAH Rumah Luas Dan Murah Di Maguwoharjo Sleman,"Depok, Sleman",Rp 1.650.000.000,4,200,321
RUMAH DI CONDONG CATUR,"Condong Catur, Sleman",Rp 4.500.000.000,7,278,570
"Rumah Di Yogyakarta Mewah Dp Bisa D Angsur, Greenland Giwangan Terbaik","Pleret, Bantul",Rp 700.000.000,2,48,90
"Rumah Minimalis , Modern Terjangkau Lingkungan Sejuk Yogyakarta","Imogiri, Bantul",Rp 700.000.000,2,48,90
RUMAH MURAH 200JUTA DEKAT HEHA SKY VIEW JOGJA,"Patuk, Gunung Kidul",Rp 200.000.000,2,36,60
PROMO RAMADHAN RUMAH TERMURAH TEPI JALAN BANTUL YOGYKARTA,"Sedayu, Bantul",Rp 281.000.000,2,36,80
Rumah Damai Prestigia JLKaliurang km10 Mewah Murah Strategis dkt UII,"Ngaglik, Sleman",Rp 1.850.000.000,4,142,166
Rumah murah di Jogja 2 kamar tidur,"Gamping, Sleman",Rp 525.000.000,2,45,75
RUMAH HUNIAN MURAH  UNTUK KELUARGA DI BANGUNJIWO,"Kasihan, Bantul",Rp 370.000.000,2,36,84
Rumah View Sawah Gunung Cocok untuk Homestay The Panorama Resort Jogja,"Wirobrajan, Yogyakarta",Rp 982.208.880,3,78,100
RUMAH MURAH AKSES MUDAH BISA KPR DI KEPEK WONOSARI,"Wonosari, Gunung Kidul",Rp 279.999.000,2,40,80
Rumah Dijual di Jogja,"Danurejan, Yogyakarta",Rp 1.780.800.000,3,171,130
Guest House Dijual di Jogja,"Danurejan, Yogyakarta",Rp 2.489.000.000,3,162,215
Dijual Rumah Kavlingan Siap Bangun di Daerah Kalasan,"Kalasan, Sleman",Rp 599.000.000,3,70,362
DIJUAL RUMAH DI YOGYAKARTA DP 5 JUTA,"Banguntapan, Bantul",Rp 625.000.000,2,70,40
Rumah Murah Dekat Bandara Internasional Adisucipto,"Purwo martani, Sleman",Rp 650.000.000,3,70,103
Rumah Cantik dan Strategis mulai 500Jt an Dekat Bandara YIA Kulon Progo,"Temon, Kulon Progo",Rp 522.000.000,3,56,72
PERUMAHAN 3 MENIT KE KAMPUS ISI JOGJA,"Sewon, Bantul",Rp 470.000.000,2,45,90
RUMAH JOGLO KAYU JATI DESAIN MODERN LOKASI KEREN DI PRAMBANAN,"Prambanan, Sleman",Rp 1.350.000.000,4,125,370
RUMAH MURAH DI BERBAH TANAH LUAS DEKAT AAU,"Berbah, Sleman",Rp 495.000.000,2,50,111
RUMAH 100 JUTAAN DEPAN KANTOR URUSAN AGAMA SENTOLO,"Sentolo, Kulon Progo",Rp 150.000.000,2,30,60
Rumah Siap Bangun Pengasih Kulonprogo Spek Berkualitas Area Strategis,"Pengasih, Kulon Progo",Rp 168.000.000,2,76,76
Dijual Segera Rumah Mewah 2 Lantai Lokasi Sangat Strategis Yogyakarta,"Imogiri, Bantul",Rp 900.000.000,3,80,100
PERUMAHAN GREENLAND GIWANGAN HARGA MURAH COCOK BUAT INVESTASI,"Pleret, Bantul",Rp 574.543.200,2,48,97
RUMAH MURAH BISA UNTUK KONTRAKAN DEKAT UNY GK,"Semanu, Gunung Kidul",Rp 195.000.000,2,36,60
RUMAH MURAH SIAP HUNI DEKAT KAMPUS TERPADU UAD RING ROAD SELATAN,"Banguntapan, Bantul",Rp 325.000.000,2,50,50
ATRIA TOWNHOUSE PURWOMARTANI KALASAN,Yogyakarta,Rp 1.050.000.000,3,82,105
Guest House Dijual di Jogja,"Gondomanan, Yogyakarta",Rp 2.489.000.000,3,162,215
Rumah Dijual di Jogja,"Pakualaman, Yogyakarta",Rp 1.526.000.000,3,139,130
Rumah Dijual di Jogja,"Gondokusuman, Yogyakarta",Rp 1.780.800.000,3,171,130
RUMAH CANTIK TERLARIS DI JALAN WONOSARI KM 11 PIYUNGAN,"Piyungan, Bantul",Rp 482.000.000,2,40,72
Dijual Hunian Modern di Sleman dekat UII Lokasi Premium,"Ngaglik, Sleman",Rp 1.500.000.000,5,120,120
"Rumah Idaman, Nyaman di Sleman Jogja, sangat strategis, Luas Tanah bervariasi","Sleman, Sleman",Rp 438.000.000,2,45,113
Home Stay Nyaman w/ Swimming poll di Jl Solo,"Gondokusuman, Yogyakarta",Rp 22.000.000.000,21,700,1430
Rumah 190an jt Siap Bangun Daerah Balecatur Gamping,"Gamping, Sleman",Rp 198.000.000,2,36,67
RUMAH MINIMALIS DESAIN CANTIK HARGA PALING MURAH DI KOTA WONOSARI,"Wonosari, Gunung Kidul",Rp 320.000.000,2,36,72
Rumah Tengah Kota Trimargo Kulon Tegalrejo Yogyakarta,"Tegalrejo, Yogyakarta",Rp 15.000.000.000,7,275,885
RUMAH Murah Desain Mewah 5km dari Bandara YIA,"Temon, Kulon Progo",Rp 279.000.000,2,36,80
Rumah sentolo Kulonprogo,"Sentolo, Kulon Progo",Rp 300.000.000,2,60,116
"KOST DIJUAL HANYA 1,8 M DI LINGKUNGAN KAMPUS TERNAMA JOGJA","Umbulharjo, Yogyakarta",Rp 1.800.000.000,18,138,138
"TYPE 55 SAMPING UTY KAMPUS 3, AKSES DEKAT KE RSI HIDAYATULLAH","Umbulharjo, Yogyakarta",Rp 1.600.000.000,3,55,135
Rumah lt 2 murah dekat kampus UAD,"Umbulharjo, Yogyakarta",Rp 980.000.000,3,76,80
Rumah Strategis di Patangpuluhan,"Wirobrajan, Yogyakarta",Rp 950.000.000,5,250,193
Rumah Murah mewah jogjakarta,"Kotagede, Yogyakarta",Rp 655.000.000,2,40,100
"RUMAH SANGAT MURAH DI BANTUL JOGJA  , KPR CICILAN RINGAN","Pandak, Bantul",Rp 225.000.000,2,30,60
RUMAH CANTIK SIAP HUNI HARGA TERJANGKAU DI KOTA WONOSARI,"Wonosari, Gunung Kidul",Rp 380.000.000,2,45,84
RUMAH CANTIK MURAH TANPA UANG MUKA HANYA 4 MENIT KE SMK 1 SEWON,"Bantul, Bantul",Rp 199.000.000,2,30,60
RUMAH BERKELAS SETARA BINTANG 4 DI YOGYAKARTA,"Kasihan, Bantul",Rp 3.100.000.000,4,195,281
Rumah Kos sebelah kampus UII,"Sleman, Sleman",Rp 4.500.000.000,10,312,312
"Rumah Cantik Siap Bangun Daerah Purwomartani, Kalasan, Sleman","Kalasan, Sleman",Rp 399.000.000,2,36,71
Rumah Siap Huni di Sedayu Bantul Yogyakarta dekat Masjid akses aspal,"Sedayu, Bantul",Rp 320.000.000,2,36,71
Rumah Tengah Kota Jogja Siap Bangun Depan BNI Kotagede,"Kotagede, Yogyakarta",Rp 730.000.000,3,101,101
Rumah Dijual di Jogja,"Kraton, Yogyakarta",Rp 1.780.800.000,3,171,130
Rumah Cocok Untuk Homestay Dekat Kampus UMY,"Gamping, Sleman",Rp 1.250.000.000,3,75,121
"SIAP HUNI dalam PERUMAHAN , KPR DP ringan","Prambanan, Sleman",Rp 340.000.000,2,45,66
rumah hook 5menit dari kampus UMY,"Wirobrajan, Yogyakarta",Rp 600.000.000,3,60,101
RUMAH TERMURAH DENGAN SPEK SETARA HOTEL TERNAMA JOGJA,"Umbulharjo, Yogyakarta",Rp 2.600.000.000,4,140,138
RUMAH MURAH 200JT ALL IN DI GUNUNG KIDUL,"Patuk, Gunung Kidul",Rp 200.000.000,2,36,60
